video_name,frame_idx,label
Idle,122,idle
Idle,130,idle
Idle,138,idle
Idle,146,idle
Idle,154,idle
Idle,162,idle
Idle,170,idle
Idle,178,idle
Reverse,79,reverse
Reverse,87,reverse
Reverse,95,reverse
Reverse,103,reverse
Reverse,111,reverse
Reverse,119,reverse
Reverse,127,reverse
Reverse,135,reverse
Forward,107,forward
Forward,115,forward
Forward,123,forward
Forward,131,forward
Forward,139,forward
Forward,147,forward
Forward,155,forward
Forward,163,forward
Forward,171,other
Stop_drive,87,stop
Stop_drive,95,stop
Stop_drive,103,stop
Stop_drive,111,stop
Stop_drive,119,stop
Stop_drive,127,stop
Stop_drive,135,stop
Stop_drive,143,stop
Stop_drive,151,stop
Stop_drive,159,stop
Stop_drive,167,stop
Stop_pass,51,stop
Stop_pass,59,stop
Stop_pass,67,stop
Stop_pass,75,stop
Stop_pass,83,stop
Stop_pass,91,stop
Stop_pass,99,stop
Follow,36,follow
Follow,44,follow
Follow,52,follow
Follow,60,follow
Follow,68,follow
Hail,218,hail
Hail,226,hail
Hail,234,hail
Hail,242,hail
Hail,250,hail
Left,89,other
Left,97,left
Left,105,left
Left,113,left
Left,121,left
Left,129,left
Left,137,left
Left,145,left
Left,153,left
Left,161,left
Left,169,left
Left,177,left
Left,185,left
Left,193,left
Left,201,left
Left,209,left
