video_name,frame_idx,caption
video_0153.mp4,0,"The image depicts a narrow residential street with multiple parked cars on both sides. There are at least six cars visible, including a white van and a black car in the foreground. A person is walking down the street, and a bicycle is parked on the sidewalk. The street appears to be empty of any moving traffic, suggesting that it is a quiet neighborhood. The parked cars and the person walking indicate that this might be a residential area where people live and park their vehicles. The presence of the bicycle suggests that some residents may prefer alternative modes of transportation. Overall, the scene conveys a calm and peaceful atmosphere, with no immediate need for the vehicle to maneuver or interact with other road users. 0. The pedestrian in the image appears to be walking towards a vehicle, with their body facing forward and their arms at their sides. Their posture suggests that they are focused on reaching the vehicle and do not appear to be gesturing or communicating with any other pedestrians or objects in the scene. Based on this observation, it is likely that the pedestrian's intent is to board the vehicle once they reach it."
video_0153.mp4,5,"The image captures a moment on a residential street, where a white van is in motion. The van, positioned centrally in the frame, is driving past a row of houses and parked cars. To the left of the van, there's a silver car, while to its right, a black car is parked. A person can be seen walking on the sidewalk adjacent to the van, adding a human element to the scene. The sky overhead is overcast, casting a soft light over everything. The overall context suggests a typical day in a suburban neighborhood, with vehicles moving along and pedestrians going about their day. 0. The pedestrian in the image appears to be walking towards a vehicle, possibly indicating their intention to cross the street or board the vehicle. Their body posture and movement suggest that they are actively navigating towards the vehicle, which implies a desire to interact with it."
video_0153.mp4,10,"The image depicts a narrow street lined with parked cars on both sides. There are at least six cars visible, including a white car and a silver car in the foreground, and several others parked further down the street. A truck is also present, parked near the center of the scene. The street appears to be residential, with houses visible in the background. In this context, the driver must navigate through the tight space between the parked cars while maintaining a safe distance from other vehicles and pedestrians. The presence of the truck may require additional caution when maneuvering around it. Overall, the driving situation can be described as ""Narrow street with parked cars,"" indicating the need for careful driving and attention to surroundings. 0. The pedestrian in the image appears to be walking towards a vehicle, possibly indicating their intention to cross the street or board the vehicle. Their body posture and movement suggest that they are actively navigating towards the vehicle, which implies a desire to interact with it."
video_0153.mp4,15,"The image depicts a narrow street lined with parked cars on both sides. The vehicle in question is positioned at the beginning of the street, facing a row of houses and parked cars. There are several cars parked along the street, including a white car to the left, a silver car to the right, and a black car further down the road. Additionally, there is a truck parked near the end of the street. The overall driving context can be categorized as ""Parked Car Ahead,"" indicating that the driver needs to navigate through the narrow street while being cautious of the parked cars and other vehicles."
video_0153.mp4,20,"The image depicts a narrow street lined with parked cars on both sides. The vehicle is positioned in the middle of the street, surrounded by other cars and a truck. There are no pedestrians or cyclists visible in the scene. The street appears to be quiet and devoid of any immediate traffic or obstacles. The overall driving context can be categorized as ""Normal Traffic"" since there are parked cars on both sides of the street, but no ongoing traffic or pedestrians to navigate around. 0. The person in the image appears to be walking towards a vehicle, possibly indicating their intention to board it. Their body posture and movement suggest that they are actively approaching the vehicle, which is typically associated with boarding or entering. The person's intent can be inferred as seeking transportation or reaching a specific destination using the vehicle. 1. The pedestrian in the image appears to be walking towards a vehicle, with their body facing forward and their arms at their sides. Their posture suggests that they are moving purposefully and confidently, indicating an intent to cross the street or approach the vehicle. The absence of any other pedestrians or obstacles in the immediate vicinity further supports this interpretation. Therefore, it can be inferred that the pedestrian's intended communication towards the vehicle is one of approaching or interacting, rather than avoiding or signaling danger."
video_0153.mp4,25,"The image captures a moment on a narrow, residential street. A white car is in motion, driving down the street which is flanked by houses and parked cars on both sides. The houses, painted in shades of white and gray, are adorned with blue and green accents, adding a touch of color to the otherwise monochrome scene. On the right side of the street, a white van is parked next to a black car, their proximity suggesting a quiet neighborhood where parking is ample. On the left side, a person is seen walking, perhaps returning home or heading out for the day. Their presence adds a human element to the scene, reminding us that these streets are not just concrete and metal, but homes and communities. In the background, power lines crisscross above, connecting the houses and forming an intricate web against the sky. They are an essential part of the urban landscape, providing electricity to power our daily lives. Overall, this image paints a picture of everyday life in a residential area - quiet, orderly, and full of stories waiting to be told. 0. The pedestrian in the image appears to be walking towards a vehicle, with their body facing forward and arms at their sides. Their posture suggests that they are moving purposefully and confidently, indicating an intent to cross the street or approach the vehicle. The absence of any other pedestrians or vehicles in the immediate vicinity further supports the idea that this individual is actively seeking interaction with the vehicle."
video_0153.mp4,30,"The image depicts a narrow street with parked cars on both sides. There are at least six cars visible, including a white car in the foreground and several others parked along the sides of the street. A person is standing near one of the parked cars, possibly interacting with it or preparing to leave. Additionally, there is a bicycle parked on the right side of the street. Given the limited space and parked vehicles, the driver must exercise caution while navigating this area. The presence of pedestrians and bicycles also requires attention to ensure safety for all road users. Overall, the driving context can be described as ""narrow street with parked cars,"" which may require extra vigilance and patience from drivers in such an environment. 0. The pedestrian in the image is standing with their arms outstretched, legs slightly apart, and their body facing towards the vehicle. This posture suggests that they are signaling or gesturing to the vehicle, possibly indicating a need for assistance or directing the driver's attention towards them. The pedestrian's intent appears to be communicative rather than aggressive or threatening. 1. The pedestrian in the image appears to be walking towards a vehicle, possibly indicating their intention to board it. Their body posture and movement suggest that they are actively approaching the vehicle, which is consistent with someone who wants to get inside."
video_0153.mp4,35,"The image depicts a narrow street with parked cars on both sides. There are several cars and a truck parked along the street, creating a tight space for maneuvering. A person is standing in front of one of the parked cars, possibly interacting with it or someone inside. The scene suggests that the vehicle may need to navigate carefully around the parked cars and be cautious of pedestrians and other potential obstacles. The overall driving context can be categorized as ""Narrow Street with Parked Cars,"" indicating the need for extra attention and caution while driving in this environment. 0. The pedestrian in the image appears to be gesturing towards a vehicle, possibly indicating their intention to cross the street or requesting assistance. The person's body posture and hand movements suggest that they are trying to communicate with the driver of the vehicle. Based on these cues, it can be inferred that the pedestrian is attempting to convey a message related to their presence on the road or their need for help. 1. The pedestrian in the image is standing with their arms outstretched, legs slightly apart, and their body facing towards the vehicle. This posture suggests that they are signaling or gesturing to the driver of the vehicle, possibly indicating a need for assistance or directions. The pedestrian's intent appears to be communicative rather than aggressive or threatening."
video_0153.mp4,40,"The image depicts a narrow street lined with parked cars on both sides. There are at least six cars visible, including a white car and a black car parked close to each other. A white van is also present in the scene, parked near the center of the street. A person can be seen standing on the sidewalk next to the white van, possibly waiting for someone or something. The overall atmosphere suggests that this could be a residential area or a busy street during off-peak hours. Given the limited space and parked vehicles, it appears that the driver of the vehicle needs to exercise caution while navigating through this area. They must be aware of pedestrians, parked cars, and potential obstacles to ensure safe passage. 0. The pedestrian in the image appears to be walking towards a vehicle, possibly indicating an intention to board it. Their body posture and movement suggest that they are actively approaching the vehicle, which is consistent with someone who wants to get inside. The person's hand is not visible, so we cannot determine if they are gesturing or not. However, their overall demeanor and direction of movement strongly imply that they intend to interact with the vehicle in some way, most likely boarding it. 1. The pedestrian in the image is walking towards a vehicle, with their body facing forward and arms at their sides. Their posture suggests that they are moving purposefully and confidently towards the vehicle, indicating an intention to board it. The absence of any other visible pedestrians or obstructions in the immediate vicinity further supports this interpretation."
video_0153.mp4,45,"The image depicts a narrow street with parked cars on both sides. There are several cars and a truck parked along the street, creating a tight space for maneuvering. A person is standing near one of the parked vehicles, possibly attending to it or preparing to leave. The scene suggests that the driver needs to be cautious while navigating through this area due to the limited space and the presence of pedestrians. The overall driving context can be categorized as ""Narrow Street with Parked Vehicles,"" indicating the need for careful driving and attention to surroundings in such confined spaces. 0. The pedestrian in the image is walking towards a vehicle, with their body slightly leaning forward and arms outstretched. This posture suggests that they are signaling to the driver of the vehicle to stop or slow down. The pedestrian's intention appears to be to communicate their presence and request for caution while crossing the road. 1. The pedestrian in the image appears to be walking towards a vehicle, possibly indicating their intention to cross the street or board the vehicle. Their body posture and movement suggest that they are actively navigating towards the vehicle, which implies a desire to interact with it."
