video_name,frame_idx,caption
video_0153_man,0,empty
video_0153_man,4,empty
video_0153_man,8,empty
video_0153_man,12,empty
video_0153_man,16,empty
video_0153_man,20,empty
video_0153_man,24,empty
video_0153_man,28,"The pedestrian is gesturing with their right hand, possibly indicating a direction or making a gesture."
video_0153_man,32,The pedestrian is gesturing with their hand.
video_0153_man,36,The pedestrian is gesturing with their hand.
video_0153_man,40,The pedestrian is gesturing with his hand.
video_0153_man,44,The pedestrian is gesturing with their right hand.
video_0153_man,48,"The pedestrian is gesturing with their right hand, which appears to be a thumbs-up sign."
video_0153_man,52,The pedestrian is gesturing with his right hand.
video_0153_man,56,"The pedestrian is gesturing with his hands, possibly indicating a direction or making a gesture."
video_0153_man,60,"The pedestrian is gesturing with his hands, possibly indicating a need for attention or communicating with someone."
video_0153_man,64,The pedestrian is gesturing with his hands.
video_0153_man,68,The pedestrian is gesturing with his hands.
video_0153_man,72,The pedestrian is gesturing with his hands.
video_0153_man,76,The pedestrian is gesturing with his hands.
video_0153_man,80,The pedestrian is waving with their right hand.
video_0153_man,84,The pedestrian is waving with his hand.
video_0153_man,88,The pedestrian is gesturing with his hands.
video_0153_man,92,"The pedestrian is gesturing with his hands, possibly indicating a conversation or expressing himself."
video_0153_man,96,"The pedestrian is gesturing with their right hand, possibly indicating a direction or making a point."
video_0153_man,100,"The pedestrian in the image appears to be gesturing with their right hand, possibly indicating a direction or making a sign. However, without more context, it's difficult to determine the exact meaning of the gesture."
video_0153_man,104,"The pedestrian appears to be gesturing with their right hand, possibly indicating a direction or making a point."
video_0153_man,108,"The pedestrian is gesturing with their hands, possibly indicating a stop or caution."
video_0153_man,112,The pedestrian is gesturing with their hands.
video_0153_man,116,"The pedestrian is gesturing with their hands, possibly indicating a direction or making a point."
video_0153_man,120,The pedestrian is gesturing with their hand.
video_0153_man,124,"The pedestrian appears to be gesturing with their hands, possibly in response to the situation or to communicate with someone. The exact nature of the gesture is not clear from the image alone."
video_0153_man,128,"The pedestrian is gesturing with their hands, possibly indicating excitement or surprise."
video_0153_man,132,The pedestrian is gesturing with their hand.
video_0153_man,136,"The pedestrian is gesturing with their hands, possibly indicating a direction or making a sign."
video_0153_man,140,"The person in the image appears to be gesturing with their hands, possibly indicating excitement or surprise. The exact gesture is not clear from the image alone."
video_0153_man,144,"The person in the image appears to be holding a baby and gesturing with their other hand. The exact gesture is not clear, but it seems to be a form of communication or expression."
video_0153_man,148,The person in the image appears to be holding a child and is smiling. The person is wearing a red shirt and camouflage pants.
video_0153_man,152,The person in the image appears to be holding a child and walking. There is no clear indication of any specific gesture being made by the pedestrian.
