video_name,frame_idx,caption
video_0153_man,0,empty
video_0153_man,8,empty
video_0153_man,16,empty
video_0153_man,24,"The pedestrian in the image is a person wearing a red shirt and gray pants. They are walking away from the camera, with their back facing the viewer. The person appears to be in motion, with their legs slightly bent and their arms swinging naturally. Their posture suggests they are in a relaxed state, possibly walking at a moderate pace. The individual is not holding anything in their hands, and there are no visible accessories or distinctive features that stand out. The gesture and body language do not indicate any specific action such as signaling, pointing, or waving. Based on their relaxed posture and the context of walking, it is likely that they are simply"
video_0153_man,32,"The pedestrian in the image is a man wearing a red shirt and dark pants. He is standing next to a vehicle, possibly a truck or a van, and appears to be interacting with it. His posture is slightly bent forward, and he is holding onto the vehicle with one hand while using the other hand to gesture or point. The gesture suggests he might be signaling or communicating with someone or something related to the vehicle. His body language indicates he is engaged in an activity that requires attention to the vehicle, such as loading or unloading items."
video_0153_man,40,"The pedestrian in the image is a man wearing a red shirt and black pants. He appears to be in motion, possibly walking or running, with his right arm extended and his left arm bent at the elbow. His posture suggests he is moving quickly. The man is not making any direct eye contact with the camera, and his body language does not indicate any specific gesture or interaction with the surroundings. Based on his posture and the direction of his movement, it is possible that he is trying to cross the street or is in a hurry."
video_0153_man,48,"The pedestrian in the image is a man wearing a red shirt and dark pants. He appears to be in motion, possibly walking or running, with one leg lifted as if he is taking a step. His posture suggests he is moving quickly. The man is not making any direct eye contact with the camera, and his body language does not indicate any specific gesture or interaction with his surroundings. Based on his posture and the way he is moving, it is possible that he is trying to cross the street or is in a hurry."
video_0153_man,56,"The pedestrian in the image is a man wearing a red t-shirt and black pants. He appears to be in motion, possibly running or moving quickly. His posture is slightly hunched forward, and his arms are extended outward, which might suggest he is trying to maintain balance or is in a state of urgency. The man's body language does not indicate a clear gesture or action, such as signaling or pointing. Based on his posture and the context of the image, it is possible that he is trying to cross the street or is reacting to an unexpected event."
video_0153_man,64,"The pedestrian in the image is a man wearing a red shirt and camouflage pants. He appears to be in motion, possibly running or moving quickly. His right arm is extended forward, and his left arm is bent at the elbow with his hand resting on his hip. The man has a tattoo on his left arm. His posture suggests he is in a hurry or reacting to something. The background shows a vehicle with text on it, indicating he might be near a vehicle or in a parking area."
video_0153_man,72,"The pedestrian in the image is a man wearing a red t-shirt and camouflage pants. He has a tattoo on his left arm and is wearing earphones. His posture is bent over, and he appears to be reaching out with his right hand, possibly to interact with something or someone. The gesture suggests he might be signaling or pointing, but without more context, it's difficult to determine his exact intent. He seems to be in a public space, possibly near a vehicle or a structure, given the background."
video_0153_man,80,"The pedestrian in the image is a man with a short haircut and a mustache. He is wearing a red long-sleeve shirt and camouflage pants. His posture is relaxed, and he is extending his right arm outward with his palm facing forward, which is a common gesture for signaling or waving. The man appears to be in a casual setting, possibly near a vehicle or a building. His gesture suggests he might be signaling to someone or something, but without additional context, it's difficult to determine his exact intent."
video_0153_man,88,"The pedestrian in the image is a man walking on a street. He is wearing a red t-shirt and camouflage pants. His posture is relaxed, and he appears to be in motion. The man has a tattoo on his left arm. He is extending his right hand outward, which could be interpreted as a gesture of signaling or pointing. Based on his gesture, it is possible that he is trying to communicate with someone or indicating a direction."
video_0153_man,96,"The pedestrian in the image is a man wearing a red shirt and camouflage pants. He appears to be in motion, possibly walking or running, with one leg lifted as if he is taking a step. His posture suggests he is moving quickly. The man is not holding anything in his hands and does not appear to be signaling, pointing, or waving. Based on his body language, it seems he is in a hurry or engaged in some activity that requires him to move quickly."
video_0153_man,104,"The image shows a person in a red shirt and black pants, bending over and reaching out to a child. The person appears to be in motion, possibly walking or running. The child is wearing a light-colored top and dark pants. The person's posture suggests they are interacting with the child, possibly picking them up or helping them. The gesture and body language indicate a caring or protective action, likely involving assistance or guidance."
video_0153_man,112,"The image shows a person bending over and reaching out to a child. The person is wearing a red top, black pants, and white sneakers. The child is dressed in a light-colored outfit. The person appears to be in a bent-over position, possibly trying to pick up or assist the child. The gesture suggests an attempt to interact or help the child, possibly to prevent them from falling or to guide them. The body language indicates a protective or caring action."
video_0153_man,120,"The image shows a person bending over and interacting with a child. The person is wearing a red shirt, black pants with a white pattern, and white sneakers. The child is wearing a light-colored dress and pink boots. The person appears to be holding the child's hand or arm, possibly to help them stand or walk. The gesture suggests a protective or guiding action, indicating that the person is likely assisting the child. The body language does not indicate any specific signal or interaction with a vehicle or other person. The intent seems to be to help or guide the child."
video_0153_man,128,"The image shows two individuals in an outdoor setting, possibly a street or a public area. The person on the left is wearing a light-colored top with a floral pattern, dark pants, and pink boots. They appear to be in a seated or crouched position, possibly being held or restrained by the person on the right. The person on the right is wearing a red top, dark pants with a distressed or torn design, and black and white sneakers. They are standing and seem to be exerting force, possibly pulling or restraining the individual on the left. The body language suggests a struggle or confrontation."
video_0153_man,136,"The pedestrian in the image is a man wearing a red long-sleeved shirt and camouflage pants. He is carrying a child in his arms, holding them securely. The man appears to be in motion, possibly walking or running. His posture is slightly bent forward, and he seems to be focused on the child he is carrying. The man's gesture and body language suggest that he is in the middle of an activity, possibly trying to move quickly or respond to an urgent situation. The child is being held close to the man, indicating a protective or caring gesture."
video_0153_man,144,"The pedestrian in the image is a man carrying a young child on his shoulders. He is wearing a red long-sleeve shirt, camouflage pants, and gray sneakers with white soles. His posture is upright, and he appears to be walking or moving forward. The man is holding the child securely with both hands, and the child is facing forward. The man's body language suggests he is in motion, possibly walking or running, and he is focused on carrying the child. There is no indication of any specific gesture or action beyond the act of carrying the child."
