video_name,frame_idx,caption
video_0153_man,0,empty
video_0153_man,8,empty
video_0153_man,16,empty
video_0153_man,24,"The pedestrian is gesturing with their right hand, possibly indicating a direction or making a gesture."
video_0153_man,32,The pedestrian is gesturing with his hand.
video_0153_man,40,The pedestrian is gesturing with his hand.
video_0153_man,48,The pedestrian is gesturing with his hands.
video_0153_man,56,The pedestrian is gesturing with his hands.
video_0153_man,64,The pedestrian is gesturing with his hands.
video_0153_man,72,The pedestrian is gesturing with his hands.
video_0153_man,80,The pedestrian is waving with his hand.
video_0153_man,88,The pedestrian is gesturing with his hands.
video_0153_man,96,The pedestrian is gesturing with his hands.
video_0153_man,104,The pedestrian is gesturing with their hands.
video_0153_man,112,The pedestrian is gesturing with their hands.
video_0153_man,120,The pedestrian is gesturing with their hand.
video_0153_man,128,The pedestrian is gesturing with their hands.
video_0153_man,136,The pedestrian is gesturing with their hands.
video_0153_man,144,The pedestrian is holding a child in his arms.
