video_name,frame_idx,prompt_type,caption
Idle,114,blank,"The video shows a man wearing glasses standing in front of a plain white wall. He is dressed in a black shirt and appears to be looking off into the distance. The video lasts for 8 seconds, and there are no other objects or people visible in the frame."
Idle,114,determine,The pedestrian is making a gesture with his hands.
Idle,114,body,"The pedestrian is standing in front of a white wall, wearing a black shirt and glasses. He is facing to the right side of the image and appears to be looking at something off-camera. Throughout the video, he maintains this position without any noticeable movements or changes in his posture."
Idle,114,context,The pedestrian is making a gesture with their hand.
Idle,114,objective,The pedestrian is making a gesture with their hand.
Idle,122,blank,"The image depicts a man standing in front of a gray background. He is wearing a black sweater and glasses, and he has short hair. The man appears to be looking off into the distance, suggesting that his attention is focused on something outside of the frame. There are no other objects or individuals present in the image. The simplicity of the image allows for a clear focus on the man and his actions."
Idle,122,determine,The pedestrian is making a gesture with his hand.
Idle,122,body,"The pedestrian, a man wearing glasses and a gray shirt, is standing in front of a white wall. He appears to be looking off into the distance, possibly observing something or someone out of frame. Throughout the video, he maintains his position and does not move significantly, suggesting that he might be waiting for someone or simply taking a moment to rest. The man's consistent posture and lack of movement indicate a sense of calmness and patience."
Idle,122,context,The pedestrian is making a gesture with their hand.
Idle,122,objective,The pedestrian is making a gesture that indicates they are giving directions.
Idle,130,blank,"The image shows a man wearing glasses and a black shirt. He is standing in front of a white wall, looking to his right with a serious expression on his face. The man appears to be the only person in the frame, and there are no other objects or text visible in the image."
Idle,130,determine,The pedestrian is making a gesture with his hand.
Idle,130,body,"The pedestrian in the image is standing still, wearing a black shirt and glasses. He appears to be looking off into the distance, possibly observing something or someone outside of the frame. There are no visible movements or actions taking place; the man seems to be in a stationary position, waiting or simply taking in his surroundings. The scene takes place against a plain background, which puts the focus on the man and his actions."
Idle,130,context,The pedestrian is making a gesture with his hand.
Idle,130,objective,The pedestrian is making a gesture that indicates they are giving directions.
Idle,138,blank,"The image depicts a man standing in front of a gray wall. He is wearing a black sweater and glasses, and he has short hair. The man appears to be looking off into the distance, suggesting that his attention is focused on something outside of the frame. There are no other objects or individuals present in the image. The overall atmosphere of the image is calm and quiet."
Idle,138,determine,The pedestrian is making a gesture with his hand.
Idle,138,body,"The pedestrian is standing in front of a gray wall, wearing a black shirt and glasses. He appears to be looking off into the distance, possibly observing something happening out of frame. Throughout the video, he maintains his position and does not move significantly. His body posture remains relatively still, with no noticeable gestures or actions. The man's focus seems to be on the distant point of interest, as he continues to look in that direction throughout the entire duration of the video."
Idle,138,context,The pedestrian is making a gesture with his hand.
Idle,138,objective,The pedestrian is making a gesture that indicates they are giving directions.
Idle,146,blank,"The image shows a man standing in front of a white wall. He is wearing a black sweater and glasses. The man appears to be looking off into the distance, possibly at something or someone outside of the frame. His posture is relaxed, with his hands tucked into the pockets of his sweater. There are no other discernible objects or text in the image. The overall atmosphere of the image is calm and quiet."
Idle,146,determine,The pedestrian is making a gesture with his hand.
Idle,146,body,"The pedestrian is standing in a relaxed posture with his arms at his sides. He appears to be gazing off into the distance, possibly observing something or someone out of frame. Throughout the video, there are no significant changes in his body language or movements; he remains still and focused on the distant point of interest."
Idle,146,context,The pedestrian is making a gesture with their hand.
Idle,146,objective,"The pedestrian is making a gesture with their hand, but it is not clear what the gesture means."
Idle,154,blank,"The image shows a man standing in front of a white wall. He is wearing a black sweater and glasses. The man appears to be looking off into the distance, possibly at something or someone outside of the frame. There are no other objects or individuals visible in the image."
Idle,154,determine,The pedestrian is making a gesture with his hand.
Idle,154,body,"The pedestrian is standing in front of a white wall, wearing glasses and a black shirt. He appears to be looking off into the distance, possibly observing something happening out of frame. Throughout the video, he maintains his position and does not move significantly. His body posture remains relatively still, with no noticeable gestures or actions. The pedestrian's focus seems to be on the distant point of interest, as he does not shift his gaze or look around during the observed timeframe."
Idle,154,context,The pedestrian is making a gesture with their hand.
Idle,154,objective,The pedestrian is making a gesture that indicates they are giving directions.
Idle,162,blank,"The image shows a man standing in front of a white wall. He is wearing a black sweater and glasses, and he has short hair. The man appears to be looking off into the distance, possibly at something or someone outside of the frame. His posture is relaxed, with his hands tucked into the pockets of his sweater. The white wall behind him provides a stark contrast to his dark clothing, making him the focal point of the image. There are no other discernible objects or text in the image."
Idle,162,determine,The pedestrian is making a gesture with his hand.
Idle,162,body,"The pedestrian, a man wearing glasses and a black shirt, is standing in front of a white wall. He appears to be looking off into the distance, possibly observing something or someone outside the frame of the image. His body posture is relaxed, with his arms at his sides and his head slightly tilted downwards. The man's gaze is directed towards the left side of the image, suggesting that he might be watching an event or person on the left. There are no other visible objects or people in the image, so it can be inferred that the man is alone in this setting."
Idle,162,context,The pedestrian is making a gesture with his hand.
Idle,162,objective,"The pedestrian is making a gesture with their hand, but it is not clear what the gesture means."
Idle,170,blank,"The image shows a man wearing glasses and a black sweater, standing in front of a white wall. He appears to be looking off into the distance, possibly observing something or someone out of frame. The man's position and expression suggest that he might be waiting for someone or something, or simply lost in thought while standing alone."
Idle,170,determine,The pedestrian is making a gesture with his hand.
Idle,170,body,"The pedestrian in the image is a young man wearing glasses and a black shirt. He is standing still with his arms at his sides, facing forward. There are no visible movements or actions taking place; he appears to be stationary and not interacting with any objects or other people in the scene. The background consists of a plain white wall, which suggests that the setting might be indoors or in an open area without much visual interest. Overall, the image captures a moment of calmness and stillness, with the man as the central focus."
Idle,170,context,The pedestrian is making a gesture with his hand.
Idle,170,objective,The pedestrian is making a gesture that indicates they are giving directions.
Idle,178,blank,"The image depicts a man standing in front of a gray wall. He is wearing a black sweater and glasses, and he has short hair. The man appears to be looking off into the distance, suggesting that his attention is focused on something outside of the frame. There are no other objects or individuals present in the image. The simplicity of the scene suggests a quiet, introspective moment."
Idle,178,determine,The pedestrian is making a gesture with his hand.
Idle,178,body,"The pedestrian, a man wearing glasses and a black shirt, is standing in front of a white wall. He appears to be looking off into the distance, possibly observing something or someone outside the frame. The man's body posture is relatively still, with no significant movements captured in the image. His attention seems to be focused on the distant object or event that has caught his interest."
Idle,178,context,The pedestrian is making a gesture with his hand.
Idle,178,objective,The pedestrian is making a gesture that indicates they are giving up or surrendering.
Stop + pass,51,blank,"The image shows a man standing in front of a gray background. He is wearing a black shirt and glasses. The man appears to be in the middle of an action, possibly waving his hand or making a gesture. There are no other objects or people in the image. The man's exact location within the image is not specified, but he is clearly the main subject of the photo."
Stop + pass,51,determine,The pedestrian is making a stop gesture.
Stop + pass,51,body,"The pedestrian is standing in front of a gray background, wearing glasses and a black shirt. He is making various hand gestures with his right hand, including a stop sign gesture where he extends his arm straight out to the side with his palm facing outward. His left hand is resting at his side. The man's movements are deliberate and controlled, suggesting that he may be giving instructions or directions."
Stop + pass,51,context,The pedestrian is making a stop gesture.
Stop + pass,51,objective,The pedestrian is making a stop gesture.
