video_name,frame_idx,caption
Follow,36,"g"
Follow,44,"g"
Follow,52,"c"
Follow,60,"c"
Follow,68,"c"
Hail,218,"b"
Hail,226,"b"
Hail,234,"e"
Hail,242,"e"
Hail,250,"e"
Forward,101,"c"
Forward,107,"c"
Forward,115,"c"
Forward,123,"c"
Forward,131,"e"
Forward,139,"e"
Forward,147,"e"
Forward,155,"e"
Forward,163,"e"
Forward,171,"e"
Left,89,"d"
Left,97,"d"
Left,105,"d"
Left,113,"d"
Left,121,"d"
Left,129,"d"
Left,137,"d"
Left,145,"d"
Left,153,"d"
Left,161,"d"
Left,169,"d"
Left,177,"d"
Left,185,"d"
Left,193,"d"
Left,201,"d"
Left,209,"d"
Left,217,"d"
Idle,114,"e"
Idle,122,"e"
Idle,130,"e"
Idle,138,"e"
Idle,146,"e"
Idle,154,"e"
Idle,162,"e"
Idle,170,"e"
Idle,178,"e"
Reverse,79,"f"
Reverse,87,"f"
Reverse,95,"f"
Reverse,103,"f"
Reverse,111,"f"
Reverse,119,"f"
Reverse,127,"f"
Reverse,135,"f"
Reverse,143,"f"
Stop_pass,51,"g"
Stop_pass,59,"g"
Stop_pass,67,"g"
Stop_pass,75,"c"
Stop_pass,83,"c"
Stop_pass,91,"c"
Stop_pass,99,"c"
Stop_drive,87,"g"
Stop_drive,95,"g"
Stop_drive,103,"g"
Stop_drive,111,"g"
Stop_drive,119,"g"
Stop_drive,127,"g"
Stop_drive,135,"g"
Stop_drive,143,"g"
Stop_drive,151,"g"
Stop_drive,159,"g"
Stop_drive,167,"g"
Stop_drive,175,"g"
