video_name,frame_idx,end_frame,interval,window_size,prompt_type,caption
Stop_pass,51,59,1,8,category,g. STOP
Stop_pass,59,67,1,8,category,g. STOP
Stop_pass,67,75,1,8,category,g. STOP
Stop_pass,75,83,1,8,category,g. STOP
Stop_pass,83,91,1,8,category,g. STOP
Stop_pass,91,99,1,8,category,g. STOP
Stop_pass,99,107,1,8,category,g. STOP
Idle,114,122,1,8,category,g. STOP
Idle,122,130,1,8,category,g. STOP
Idle,130,138,1,8,category,g. STOP
Idle,138,146,1,8,category,g. STOP
Idle,146,154,1,8,category,g. STOP
Idle,154,162,1,8,category,g. STOP
Idle,162,170,1,8,category,g. STOP
Idle,170,178,1,8,category,g. STOP
Idle,178,186,1,8,category,g. STOP
Left,89,97,1,8,category,g. STOP
Left,97,105,1,8,category,g. STOP
Left,105,113,1,8,category,g. STOP
Left,113,121,1,8,category,g. STOP
Left,121,129,1,8,category,g. STOP
Left,129,137,1,8,category,g. STOP
Left,137,145,1,8,category,g. STOP
Left,145,153,1,8,category,g. STOP
Left,153,161,1,8,category,g. STOP
Left,161,169,1,8,category,b. hail
Left,169,177,1,8,category,b. hail
Left,177,185,1,8,category,g. STOP
Left,185,193,1,8,category,g. STOP
Left,193,201,1,8,category,g. STOP
Left,201,209,1,8,category,g. STOP
Follow,36,44,1,8,category,b. hail
Follow,44,52,1,8,category,g. STOP
Follow,52,60,1,8,category,g. STOP
Follow,60,68,1,8,category,b. hail
Reverse,79,87,1,8,category,g. STOP
Reverse,87,95,1,8,category,g. STOP
Reverse,95,103,1,8,category,g. STOP
Reverse,103,111,1,8,category,g. STOP
Reverse,111,119,1,8,category,g. STOP
Reverse,119,127,1,8,category,g. STOP
Reverse,127,135,1,8,category,g. STOP
Reverse,135,143,1,8,category,g. STOP
Stop_drive,87,95,1,8,category,g. STOP
Stop_drive,95,103,1,8,category,g. STOP
Stop_drive,103,111,1,8,category,g. STOP
Stop_drive,111,119,1,8,category,g. STOP
Stop_drive,119,127,1,8,category,g. STOP
Stop_drive,127,135,1,8,category,g. STOP
Stop_drive,135,143,1,8,category,g. STOP
Stop_drive,143,151,1,8,category,g. STOP
Stop_drive,151,159,1,8,category,g. STOP
Stop_drive,159,167,1,8,category,g. STOP
Stop_drive,167,175,1,8,category,g. STOP
Forward,107,115,1,8,category,g. STOP
Forward,115,123,1,8,category,g. STOP
Forward,123,131,1,8,category,g. STOP
Forward,131,139,1,8,category,g. STOP
Forward,139,147,1,8,category,b. hail
Forward,147,155,1,8,category,g. STOP
Forward,155,163,1,8,category,g. STOP
Forward,163,171,1,8,category,b. hail
Forward,171,179,1,8,category,g. STOP
Hail,218,226,1,8,category,b. hail
Hail,226,234,1,8,category,b. hail
Hail,234,242,1,8,category,b. hail
Hail,242,250,1,8,category,b. hail
