video_name,frame_idx,caption
Idle,114,blank,The man is standing still.
Idle,114,determine,The pedestrian is not making any gestures.
Idle,114,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has short hair and is standing still, facing to the right side of the frame. His body posture is upright, with his arms hanging naturally by his sides. There are no visible movements or changes in his position throughout the video."
Idle,114,context,The pedestrian is standing still.
Idle,114,objective,The pedestrian is standing still.
Idle,122,blank,The man is standing still.
Idle,122,determine,The pedestrian is standing still with his hands behind him.
Idle,122,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands still, facing to the right side of the frame with his arms at his sides. His body posture remains unchanged throughout the video."
Idle,122,context,The pedestrian is standing still.
Idle,122,objective,The pedestrian is standing still.
Idle,130,blank,The man in the video is wearing glasses and a black shirt.
Idle,130,determine,The pedestrian is standing still with his hands in front of him.
Idle,130,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing still, facing to the right side of the frame with his body in profile view. His arms are relaxed by his sides, and he appears to be looking straight ahead. There is no motion observed from him throughout the video."
Idle,130,context,The pedestrian is standing still and not making any gestures.
Idle,130,objective,The pedestrian is standing still and not making any gestures.
Idle,138,blank,The man is standing still.
Idle,138,determine,The pedestrian is making a gesture with their hand.
Idle,138,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored long-sleeved shirt. He is standing still, facing to the right side of the frame with his body in profile view. His arms are relaxed by his sides, and he appears to be looking straight ahead. There is no motion observed in this scene."
Idle,138,context,The pedestrian is standing still and not making any gestures.
Idle,138,objective,The pedestrian is standing still.
Idle,146,blank,The man is standing still.
Idle,146,determine,The pedestrian is standing still and not making any gestures.
Idle,146,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands still, facing to the right side of the frame with his arms at his sides. His posture is upright, and he appears to be looking straight ahead. There are no visible movements or changes in his body position throughout the video."
Idle,146,context,The pedestrian is standing still and not making any gestures.
Idle,146,objective,The pedestrian is standing still and not making any gestures.
Idle,154,blank,The man is standing still.
Idle,154,determine,The pedestrian is making a gesture with their hand.
Idle,154,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing still, facing to the right side of the frame with his body in profile view. His arms are relaxed by his sides, and he appears to be looking straight ahead. There is no motion observed from him throughout the video."
Idle,154,context,The pedestrian is standing still.
Idle,154,objective,The pedestrian is standing still and not making any gestures.
Idle,162,blank,The man is standing still.
Idle,162,determine,The pedestrian is not making any gesture.
Idle,162,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored long-sleeved shirt. He stands still, facing to the right side of the frame with his body slightly turned towards the camera. His arms are relaxed by his sides, and he appears to be looking straight ahead. There is no visible motion in this scene."
Idle,162,context,The pedestrian is standing still and not making any gestures.
Idle,162,objective,The pedestrian is standing still.
Idle,170,blank,The man is standing still.
Idle,170,determine,The pedestrian is standing still and not making any gestures.
Idle,170,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored long-sleeved shirt. He is standing still, facing to the right side of the frame with his body in profile view. His arms are relaxed by his sides, and he appears to be looking straight ahead. There is no visible motion or change in posture throughout the video."
Idle,170,context,The pedestrian is standing still and not making any gestures.
Idle,170,objective,The pedestrian is standing still.
Idle,178,blank,The man is standing still.
Idle,178,determine,The pedestrian is making a gesture with his hand.
Idle,178,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored long-sleeved shirt. He is standing still, facing to the right side of the frame with his body in profile view. His arms are relaxed by his sides, and he appears to be looking straight ahead. There is no motion observed from him throughout the video."
Idle,178,context,The pedestrian is standing still.
Idle,178,objective,The pedestrian is standing still.
Stop + pass,51,blank,"A man in a black shirt and glasses is standing in front of a white wall. He raises his right hand with the palm facing outward, as if signaling ""stop"" or indicating something he wants to emphasize."
Stop + pass,51,determine,The pedestrian is making a stop gesture with his hand.
Stop + pass,51,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain, light-colored background. His right arm is extended forward with his hand open, palm facing outward, as if he is signaling to stop or indicating something. The motion of the gesture appears deliberate and focused on communication."
Stop + pass,51,context,The pedestrian is making a stop gesture.
Stop + pass,51,objective,stop
Stop + pass,59,blank,"A man is standing in front of a white wall, wearing glasses and holding his right hand up with his palm facing forward."
Stop + pass,59,determine,The pedestrian is making a stop gesture.
Stop + pass,59,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands with his right arm extended forward, palm facing outward in a stop gesture. His left hand moves slightly as he maintains the stop position."
Stop + pass,59,context,The pedestrian is making a stop gesture.
Stop + pass,59,objective,stop
Stop + pass,67,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt."
Stop + pass,67,determine,The pedestrian is making a stop gesture with his hand.
Stop + pass,67,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has short hair and is standing in front of a plain background. His right arm is extended outward with his palm facing forward, while his left arm remains by his side. The motion appears to be static as he maintains this position throughout the video."
Stop + pass,67,context,The pedestrian is making a stop gesture.
Stop + pass,67,objective,stop
Stop + pass,75,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt. He has his right arm extended out to the side with his palm facing forward, as if he is trying to stop something or someone from moving towards him."
Stop + pass,75,determine,The pedestrian is making a stop gesture.
Stop + pass,75,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a plain white background, with his right arm extended outward at shoulder height and his left hand raised to chest level with fingers spread apart. His movements are slow and deliberate as he gestures expressively while speaking or presenting."
Stop + pass,75,context,The pedestrian is making a stop gesture.
Stop + pass,75,objective,stop
Stop + pass,83,blank,"A man is standing in front of a white wall, moving his arms and hands around."
Stop + pass,83,determine,The pedestrian is making a stop gesture.
Stop + pass,83,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a plain white background, with his right arm extended forward at shoulder height, palm facing outward as if signaling ""stop."" His left hand moves fluidly around the space near his head, occasionally extending it towards the camera while maintaining focus on something off-camera."
Stop + pass,83,context,The pedestrian is making a stop gesture.
Stop + pass,83,objective,The pedestrian is making a stop gesture.
Stop + pass,91,blank,"A man is standing in front of a white wall, moving his arms and hands around."
Stop + pass,91,determine,The pedestrian is making a gesture with his hand.
Stop + pass,91,bodyanalysis,"The pedestrian is a man wearing glasses and dressed in a black long-sleeved shirt. He stands with his right arm extended forward, palm facing outwards, while his left hand moves fluidly around it. His movements are deliberate as he raises his hands above his head before bringing them back down to the starting position."
Stop + pass,91,context,The pedestrian is making a stop gesture.
Stop + pass,91,objective,The pedestrian is making a stop gesture.
Stop + pass,99,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt. He has his arms outstretched with one hand open and the other closed into a fist."
Stop + pass,99,determine,The pedestrian is making a stop gesture.
Stop + pass,99,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands with his left arm extended outward, palm facing forward, while his right hand remains by his side. His posture suggests he might be gesturing or signaling something to someone off-camera."
Stop + pass,99,context,The pedestrian is making a stop gesture.
Stop + pass,99,objective,The pedestrian is making a stop gesture.
Stop (blurry),71,blank,A man in a black shirt and glasses is walking across the stage.
Stop (blurry),71,determine,The pedestrian is making a peace sign.
Stop (blurry),71,bodyanalysis,"The pedestrian is walking steadily from right to left across the frame, maintaining a consistent pace. He has short light brown hair and wears glasses with thin frames, dressed in a dark long-sleeved shirt. His movements are smooth as he approaches the camera before continuing on his path."
Stop (blurry),71,context,The pedestrian is walking.
Stop (blurry),71,objective,The pedestrian is walking straight ahead.
Stop (blurry),79,blank,A man is standing in front of a white screen.
Stop (blurry),79,determine,The pedestrian is making a gesture with his hands.
Stop (blurry),79,bodyanalysis,"The pedestrian is walking steadily from the right side of the frame towards the left, maintaining a consistent pace. He has short hair and wears glasses, dressed in a dark-colored long-sleeved shirt. His arms swing naturally at his sides as he moves forward against a plain gray background."
Stop (blurry),79,context,The pedestrian is making a stop gesture.
Stop (blurry),79,objective,The pedestrian is making a stop gesture.
Stop (blurry),87,blank,A man in a black shirt is standing with his arms outstretched.
Stop (blurry),87,determine,The pedestrian is making a gesture with his hands.
Stop (blurry),87,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has short hair and is standing in front of a plain, light-colored background. His arms are extended forward with his palms facing down, as if he is holding something or gesturing towards an object. The motion appears to be slow and deliberate, suggesting that he might be demonstrating or explaining something."
Stop (blurry),87,context,The pedestrian is making a stop gesture.
Stop (blurry),87,objective,The pedestrian is making a stop gesture.
Stop (blurry),95,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt. He has his arms outstretched with palms facing forward as if he's trying to stop something or someone from coming closer."
