video_name,prompt_type,caption,frame_idx,end_frame,interval,window_size
video_00,category,10.,0,59,1,59
video_01,category,10.,0,59,1,59
video_02,category,10.,0,59,1,59
video_03,category,6,0,59,1,59
video_04,category,0,0,89,1,89
video_05,category,10.,0,59,1,59
video_06,category,10.,0,59,1,59
video_07,category,10.,0,59,1,59
video_08,category,10.,0,59,1,59
video_09,category,10.,0,89,1,89
video_10,category,10.,0,89,1,89
video_11,category,10.,0,59,1,59
video_12,category,0,0,59,1,59
video_13,category,10.,0,59,1,59
video_14,category,10.,0,29,1,29
video_15,category,10.,0,59,1,59
video_16,category,10.,0,59,1,59
video_17,category,10.,0,59,1,59
video_18,category,10.,0,59,1,59
video_19,category,10.,0,89,1,89
video_20,category,10.,0,89,1,89
video_21,category,10.,0,89,1,89
video_22,category,10.,0,59,1,59
video_23,category,10.,0,59,1,59
video_24,category,10.,0,89,1,89
video_25,category,0,0,59,1,59
video_26,category,10.,0,59,1,59
video_27,category,10.,0,59,1,59
video_28,category,10.,0,59,1,59
video_29,category,10.,0,89,1,89
video_30,category,10.,0,59,1,59
video_31,category,10.,0,89,1,89
video_32,category,10.,0,59,1,59
video_33,category,10.,0,59,1,59
video_34,category,10.,0,59,1,59
video_35,category,10.,0,59,1,59
video_36,category,10.,0,89,1,89
video_37,category,10.,0,59,1,59
video_38,category,10.,0,59,1,59
video_39,category,10.,0,59,1,59
video_40,category,10.,0,89,1,89
video_41,category,10.,0,59,1,59
video_42,category,0,0,29,1,29
video_43,category,10.,0,59,1,59
video_44,category,10.,0,29,1,29
video_45,category,10.,0,59,1,59
video_46,category,10.,0,59,1,59
video_47,category,10.,0,59,1,59
video_48,category,10.,0,29,1,29
video_49,category,10.,0,59,1,59
video_50,category,10.,0,59,1,59
video_51,category,0,0,59,1,59
video_52,category,10.,0,59,1,59
video_53,category,10.,0,89,1,89
video_54,category,10.,0,89,1,89
video_55,category,10.,0,59,1,59
video_56,category,10.,0,59,1,59
video_57,category,10.,0,89,1,89
video_58,category,10.,0,59,1,59
video_60,category,10.,0,149,1,149
video_63,category,10.,0,29,1,29
video_64,category,10.,0,59,1,59
video_65,category,0,0,59,1,59
video_66,category,10.,0,29,1,29
video_67,category,10.,0,59,1,59
video_68,category,0,0,59,1,59
video_69,category,10.,0,59,1,59
video_70,category,10.,0,29,1,29
video_71,category,10.,0,59,1,59
video_72,category,10.,0,29,1,29
video_73,category,10.,0,29,1,29
video_76,category,0,0,149,1,149
video_80,category,10.,0,59,1,59
video_81,category,0,0,89,1,89
video_82,category,10.,0,59,1,59
video_83,category,10.,0,59,1,59
video_85,category,10.,0,59,1,59
video_86,category,10.,0,29,1,29
video_87,category,10.,0,59,1,59
video_88,category,10.,0,59,1,59
video_91,category,10.,0,89,1,89
video_92,category,10.,0,59,1,59
video_93,category,10.,0,29,1,29
video_95,category,10.,0,59,1,59
video_97,category,10.,0,149,1,149
video_102,category,6,0,59,1,59
video_103,category,10.,0,59,1,59
video_104,category,10.,0,29,1,29
video_105,category,7,0,29,1,29
video_106,category,10.,0,149,1,149
video_109,category,10.,0,59,1,59
video_113,category,10.,0,119,1,119
video_114,category,10.,0,119,1,119
video_115,category,10.,0,149,1,149
video_116,category,10.,0,89,1,89
video_123,category,10.,0,119,1,119
video_124,category,10.,0,59,1,59
video_126,category,0,0,119,1,119
video_127,category,10.,0,119,1,119
video_128,category,10.,0,119,1,119
video_130,category,10.,0,59,1,59
video_131,category,10.,0,119,1,119
video_132,category,10.,0,149,1,149
video_135,category,10.,0,149,1,149
video_136,category,10.,0,149,1,149
video_61,category,10.,0,179,1,179
video_62,category,10.,0,89,1,89
video_75,category,0,0,179,1,179
video_77,category,10.,0,149,1,149
video_78,category,10.,0,89,1,89
video_79,category,10.,0,89,1,89
video_84,category,10.,0,89,1,89
video_89,category,10.,0,89,1,89
video_90,category,10.,0,89,1,89
video_94,category,10.,0,89,1,89
video_96,category,10.,0,89,1,89
video_98,category,0,0,179,1,179
video_100,category,10.,0,89,1,89
video_101,category,10.,0,89,1,89
video_107,category,10.,0,119,1,119
video_108,category,10.,0,89,1,89
video_110,category,10.,0,89,1,89
video_111,category,10.,0,89,1,89
video_112,category,10.,0,89,1,89
video_117,category,10.,0,89,1,89
video_118,category,10.,0,89,1,89
video_119,category,10.,0,89,1,89
video_120,category,10.,0,89,1,89
video_121,category,0,0,119,1,119
video_122,category,10.,0,89,1,89
video_125,category,10.,0,89,1,89
video_129,category,10.,0,89,1,89
video_133,category,10.,0,179,1,179
video_134,category,10.,0,119,1,119
video_138,category,10.,0,209,1,209
video_139,category,10.,0,269,1,269
