video_name,frame_idx,prompt_type,cosine
Idle,114,blank,0.4304514527320862
Idle,114,determine,0.36125707626342773
Idle,114,bodyanalysis,0.5176398754119873
Idle,114,context,0.34331393241882324
Idle,114,objective,0.34331393241882324
Idle,122,blank,0.5076339244842529
Idle,122,determine,0.48821789026260376
Idle,122,bodyanalysis,0.6535168886184692
Idle,122,context,0.48110997676849365
Idle,122,objective,0.4776383936405182
Idle,130,blank,0.5481369495391846
Idle,130,determine,0.4095318615436554
Idle,130,bodyanalysis,0.6139116287231445
Idle,130,context,0.4095318615436554
Idle,130,objective,0.35366952419281006
Idle,138,blank,0.44564977288246155
Idle,138,determine,0.35896778106689453
Idle,138,bodyanalysis,0.5251864194869995
Idle,138,context,0.35896778106689453
Idle,138,objective,0.3211515545845032
Idle,146,blank,0.49921274185180664
Idle,146,determine,0.48821789026260376
Idle,146,bodyanalysis,0.6617891192436218
Idle,146,context,0.48110997676849365
Idle,146,objective,0.48949140310287476
Idle,154,blank,0.4915151000022888
Idle,154,determine,0.4095318615436554
Idle,154,bodyanalysis,0.5581146478652954
Idle,154,context,0.40359002351760864
Idle,154,objective,0.35366952419281006
Idle,162,blank,0.4348561763763428
Idle,162,determine,0.35896778106689453
Idle,162,bodyanalysis,0.5495396256446838
Idle,162,context,0.35896778106689453
Idle,162,objective,0.34109726548194885
Idle,170,blank,0.5329427123069763
Idle,170,determine,0.48821789026260376
Idle,170,bodyanalysis,0.6126261949539185
Idle,170,context,0.48821789026260376
Idle,170,objective,0.4776383936405182
Idle,178,blank,0.4411243200302124
Idle,178,determine,0.4095318615436554
Idle,178,bodyanalysis,0.570966899394989
Idle,178,context,0.4095318615436554
Idle,178,objective,0.36167287826538086
Stop + pass,51,blank,0.4906933009624481
Stop + pass,51,determine,0.44580698013305664
Stop + pass,51,bodyanalysis,0.567595362663269
Stop + pass,51,context,0.44580698013305664
Stop + pass,51,objective,0.44580698013305664
Stop + pass,59,blank,0.5447425842285156
Stop + pass,59,determine,0.6078637838363647
Stop + pass,59,bodyanalysis,0.6286599636077881
Stop + pass,59,context,0.6078637838363647
Stop + pass,59,objective,0.6078637838363647
Stop + pass,67,blank,0.425775945186615
Stop + pass,67,determine,0.46959710121154785
Stop + pass,67,bodyanalysis,0.4065279960632324
Stop + pass,67,context,0.46959710121154785
Stop + pass,67,objective,0.46959710121154785
Stop + pass,75,blank,0.33244186639785767
Stop + pass,75,determine,0.5881859660148621
Stop + pass,75,bodyanalysis,0.4729594886302948
Stop + pass,75,context,0.5597735643386841
Stop + pass,75,objective,0.5597735643386841
Stop + pass,83,blank,0.3262811601161957
Stop + pass,83,determine,0.657586932182312
Stop + pass,83,bodyanalysis,0.4716302752494812
Stop + pass,83,context,0.657586932182312
Stop + pass,83,objective,0.657586932182312
Stop + pass,91,blank,0.4946160912513733
Stop + pass,91,determine,0.42976635694503784
Stop + pass,91,bodyanalysis,0.5335087180137634
Stop + pass,91,context,0.4760560691356659
Stop + pass,91,objective,0.4760560691356659
Stop + pass,99,blank,0.36125487089157104
Stop + pass,99,determine,0.534807562828064
Stop + pass,99,bodyanalysis,0.4978570342063904
Stop + pass,99,context,0.4132223129272461
Stop + pass,99,objective,0.4132223129272461
Go left,89,blank,0.34988805651664734
Go left,89,determine,0.4924302101135254
Go left,89,bodyanalysis,0.4621974527835846
Go left,89,context,0.48346221446990967
Go left,89,objective,0.4704119563102722
Go left,97,blank,0.3820003867149353
Go left,97,determine,0.425803542137146
Go left,97,bodyanalysis,0.39297497272491455
Go left,97,context,0.37272465229034424
Go left,97,objective,0.4740949869155884
Go left,105,blank,0.3411363661289215
Go left,105,determine,0.39963045716285706
Go left,105,bodyanalysis,0.3789302706718445
Go left,105,context,0.5226410627365112
Go left,105,objective,0.5220417976379395
Go left,113,blank,0.3240286707878113
Go left,113,determine,0.4756603240966797
Go left,113,bodyanalysis,0.419235497713089
Go left,113,context,0.4072920083999634
Go left,113,objective,0.4072920083999634
Go left,121,blank,0.3735935091972351
Go left,121,determine,0.5036284923553467
